"id","setting","identified","screen","latent","incidents","p_screen","p_ltbi","id_per_inc","screen_per_inc","latent_per_inc","screen_per_inc2","latent_per_inc2","total_cost"
"Bootstrap094","factory/workplace",95.5,87,4.5,4,0.84,0.05,16.05,13.2,0.7,13.48,0.67,8902.76498351218
"Bootstrap094","hospital/clinic/care centre",21,7.5,0.5,2,0.58,0.03,9.5,3.5,0.25,5.51,0.17,3552.25380101689
"Bootstrap094","other",141,106,4,3,0.89,0.07,24,9.71,2,21.36,1.5,8088.42894651733
"Bootstrap095","commercial",14,14,0,2,0.85,0,8.5,7.5,0,7.22,0,3692.85883807289
"Bootstrap095","education",522,468.5,12.5,8,0.82,0.03,48.96,43.07,1.13,40.15,1.2,30132.0453124733
"Bootstrap095","factory/workplace",132.5,122,9.5,5.5,0.88,0.06,25.12,20.83,1.9,22.11,1.33,15000.8586643536
"Bootstrap095","hospital/clinic/care centre",52.5,39,1,3.5,0.8,0.02,10.5,8.08,0.25,8.4,0.17,6729.88839453156
"Bootstrap095","other",88,40.5,3.5,3.5,0.85,0.05,29.77,16.19,1.19,25.3,1.27,10364.3593514058
"Bootstrap096","commercial",36,29.5,0.5,4,0.8,0.04,11.5,9.25,0.12,9.2,0.37,7913.16190884978
"Bootstrap096","education",610,503.5,11.5,10,0.84,0.03,38.81,32.54,0.96,32.6,0.98,33402.1357361436
"Bootstrap096","factory/workplace",53.5,39,4,4,0.74,0.08,13.77,10.4,0.69,10.19,0.82,8252.64214840434
"Bootstrap096","hospital/clinic/care centre",41,32,0,2.5,0.83,0,14,11,0,11.62,0,5213.83034503111
"Bootstrap096","other",104,90,5,1,0.87,0.03,49,49,0.36,42.63,1.28,3893.94815209244
"Bootstrap097","commercial",66,45,3,6,0.78,0.03,15.67,12,0.5,12.22,0.37,12863.7993981713
"Bootstrap097","education",353,260.5,5,6,0.75,0.02,39.79,31.18,0.58,29.84,0.6,19109.9658846584
"Bootstrap097","factory/workplace",90.5,67.5,2,4.5,0.79,0.03,21.36,16.43,0.5,16.87,0.51,10820.5371855718
"Bootstrap097","hospital/clinic/care centre",67,42,1.5,4.5,0.73,0.02,18.86,8.14,0.27,13.77,0.28,10024.9242630118
"Bootstrap097","other",137,132.5,5.5,2,0.91,0.06,31.4,25.56,1.5,28.57,1.71,6311.18010337849
"Bootstrap098","commercial",29.5,23,1,4,0.89,0.05,10.2,9.2,0.6,9.08,0.45,7888.04361524338
"Bootstrap098","education",596,475,8,10,0.83,0.02,61.14,52.15,0.86,50.75,1.02,43274.9455723292
"Bootstrap098","factory/workplace",137.5,119.5,5,5,0.79,0.06,22.6,16.77,0.72,17.85,1.07,12457.2776682382
"Bootstrap098","hospital/clinic/care centre",46.5,29,3,4,0.71,0.07,14.3,11.96,0.55,10.15,0.71,8226.75510856818
"Bootstrap098","other",146,87.5,4.5,3,0.8,0.06,33,18.93,1.33,26.4,1.58,9140.87055330133
"Bootstrap099","commercial",26,22,0,3,0.85,0,9.67,8,0,8.22,0,5701.36214810965
"Bootstrap099","education",737.5,598.5,8.5,8.5,0.81,0.01,62.53,47.36,0.69,50.65,0.51,36528.5973052299
"Bootstrap099","factory/workplace",73.5,60.5,2.5,4,0.78,0.05,14.22,10.06,1.17,11.09,0.55,8372.81958190194
"Bootstrap099","hospital/clinic/care centre",46,22,0,3,0.67,0,9.2,5.5,0,6.16,0,5390.54654477653
"Bootstrap099","other",114,30,4,2,0.64,0.07,37,16,2,23.68,1.66,5743.63426821689
"Bootstrap100","commercial",26,25,1,3,0.96,0.04,10.5,9.12,0.2,10.08,0.4,6058.77384738133
"Bootstrap100","education",376,314.5,9,10.5,0.74,0.03,33.86,27.83,0.67,25.06,0.75,30811.3477271876
"Bootstrap100","factory/workplace",78.5,76.5,5,4.5,0.89,0.08,17.19,15.9,1.27,15.3,1.22,10588.8368387994
"Bootstrap100","hospital/clinic/care centre",41,30,0,3,0.77,0,15,9,0,11.55,0,6258.10813717333
"Bootstrap100","other",53.5,46.5,1,3.5,0.73,0.05,15.79,11.77,0.41,11.53,0.58,7430.34040133604
