"id","setting","identified","screen","latent","incidents","p_screen","p_ltbi","id_per_inc","screen_per_inc","latent_per_inc","screen_per_inc2","latent_per_inc2","total_cost","cost_per_id","cost_per_screen","cost_per_ltbi"
"Bootstrap015","commercial",92,70.5,4.5,3,1,0.04,14,11.31,0.56,14,0.56,6224.77257364989,67.6605714527162,88.2946464347502,1383.28279414442
"Bootstrap015","education",543.5,402.5,8,9.5,0.79,0.03,52.05,39.38,0.88,41.12,1.23,34267.5215759561,63.0497177110507,85.1366995675927,4283.44019699451
"Bootstrap015","factory/workplace",134.5,117.5,4,6.5,0.79,0.05,25.57,21.5,1.2,20.2,1.01,15755.6880565113,117.142662130196,134.090962183075,3938.92201412783
"Bootstrap015","hospital/clinic/care centre",35,26,0,3,0.93,0,14,13,0,13.02,0,5980.6093106818,170.874551733766,230.023435026223,Inf
"Bootstrap015","other",74,30,2,2,0.91,0.07,37,15,2,33.67,2.36,6583.54438541212,88.9668160190827,219.451479513737,3291.77219270606
"Bootstrap016","commercial",13,12,1,2,0.92,0.03,8,8,0.25,7.36,0.22,3456.70303396769,265.90023338213,288.058586163974,3456.70303396769
"Bootstrap016","education",508,455,6,13,0.73,0.02,29.88,26.76,0.65,21.81,0.44,32164.191221723,63.3153370506358,70.6905301576329,5360.69853695383
"Bootstrap016","factory/workplace",86,76.5,2.5,5,0.87,0.07,18.96,14.17,0.61,16.5,1.16,11216.898878659,130.429056728592,146.626129132797,4486.75955146358
"Bootstrap016","hospital/clinic/care centre",52.5,37.5,1,2,0.84,0.02,16.5,15.5,0.2,13.86,0.28,4115.06925669159,78.3822715560303,109.735180178442,4115.06925669159
"Bootstrap016","other",191,135,2,5,0.83,0.03,28.21,24.92,0.44,23.41,0.7,12801.4481014352,67.0232884891896,94.8255414921127,6400.72405071761
"Bootstrap017","commercial",41.5,35,0.5,4,0.83,0.04,16.33,15.17,0.5,13.55,0.54,8237.54328881337,198.495019007551,235.358379680382,16475.0865776267
"Bootstrap017","education",1020,850,14,6,0.87,0.05,60,50,1,52.2,2.61,25390.6748893292,24.8928185189502,29.8713822227402,1813.61963495209
"Bootstrap017","factory/workplace",244,234,6,8,0.85,0.06,25.42,19.5,1,21.61,1.3,20060.0083902409,82.2131491403315,85.726531582226,3343.33473170681
"Bootstrap017","hospital/clinic/care centre",31.5,26.5,0,1.5,0.78,0,13.5,10.17,0,10.53,0,2815.07919693273,89.3675935534201,106.229403657839,Inf
"Bootstrap017","other",50,47,0.5,3.5,0.99,0.01,9.06,8.69,0.06,8.97,0.09,6291.67400420685,125.833480084137,133.865404344827,12583.3480084137
"Bootstrap018","commercial",22,18,2,4,0.92,0.09,13,12,1,11.96,1.08,8043.78381792201,365.626537178273,446.876878773445,4021.891908961
"Bootstrap018","education",481.5,343,7,5.5,0.81,0.03,68.34,48.6,1.29,55.36,1.66,23874.6309777923,49.5838649590702,69.6053381276743,3410.66156825604
"Bootstrap018","factory/workplace",79,68.5,6,4.5,0.87,0.1,16.21,15.21,1.66,14.1,1.41,9631.87429837567,121.92245947311,140.611303625922,1605.31238306261
"Bootstrap018","hospital/clinic/care centre",25.5,17.5,2,3,0.86,0.07,11,8.67,0.58,9.46,0.66,5587.31586049696,219.110425901842,319.275192028398,2793.65793024848
"Bootstrap018","other",35.5,32.5,2,2.5,0.83,0.03,10.18,8.75,0.4,8.45,0.25,4467.42936696284,125.843080759516,137.459365137318,2233.71468348142
"Bootstrap019","commercial",19,18,0.5,2.5,0.88,0.04,13,11.14,0.17,11.44,0.46,4867.55822746604,256.187275129792,270.419901525891,9735.11645493209
"Bootstrap019","education",646.5,479.5,12.5,10,0.77,0.04,48.71,35.42,1,37.51,1.5,34476.7914774996,53.3283704214997,71.9015463555778,2758.14331819997
"Bootstrap019","factory/workplace",65,61,3,5,0.87,0.02,19.5,17,0.5,16.96,0.34,11067.7979195273,170.273814146574,181.439310156185,3689.26597317577
"Bootstrap019","hospital/clinic/care centre",60,60,1,3,0.81,0.01,12,12,0.33,9.72,0.1,5524.05792387841,92.0676320646401,92.0676320646401,5524.05792387841
"Bootstrap019","other",104,90,5,1,0.87,0.04,57,25.5,1,49.59,1.98,4061.85201647322,39.0562693891655,45.1316890719246,812.370403294643
"Bootstrap020","commercial",26,22,1,2,0.85,0.08,13,12,1,11.05,0.88,3911.85083900171,150.455801500066,177.811401772805,3911.85083900171
"Bootstrap020","education",663.5,543,8.5,7.5,0.81,0.02,84.75,65.08,1.55,68.65,1.37,37384.8162511002,56.3448624733989,68.8486487128916,4398.21367660002
"Bootstrap020","factory/workplace",67,60,3.5,5.5,0.84,0.05,12.45,10.4,0.6,10.46,0.52,10471.4510704164,156.290314483827,174.52418450694,2991.84316297611
"Bootstrap020","hospital/clinic/care centre",22,12,0,2.5,0.82,0,9,4.67,0,7.38,0,4294.95259877276,195.225118126035,357.912716564397,Inf
"Bootstrap020","other",32,32,5,2,0.87,0.03,15.63,12.89,0.5,13.6,0.41,4102.73952707232,128.21061022101,128.21061022101,820.547905414464
"Bootstrap021","commercial",69,54,4.5,4,0.82,0.09,17.25,13.5,1.04,14.14,1.27,8544.89891832229,123.839114758294,158.23886885782,1898.86642629384
"Bootstrap021","education",610,534.5,10.5,10,0.84,0.02,85.37,71.21,2.08,71.71,1.43,51320.6991569746,84.1322936999583,96.0162753170712,4887.68563399758
"Bootstrap021","factory/workplace",103.5,98,10,5,0.82,0.06,18.86,17.48,1.9,15.47,0.93,10902.9376283809,105.342392544743,111.254465595724,1090.29376283809
"Bootstrap021","hospital/clinic/care centre",26,22,0,1,0.85,0,13,11,0,11.05,0,1899.40244662085,73.0539402546482,86.3364748464025,Inf
